taxid,|,taxname,|,lineage,,,,,,,,,,
82373,|,Anaerovibrio,|,82373,1843491,909929,909932,1239,1783272,2,131567,,,
174951,|,Ramlibacter,|,174951,80864,80840,28216,1224,3379134,2,131567,,,
2282523,|,Methylorubrum,|,2282523,119045,356,28211,1224,3379134,2,131567,,,
990721,|,Christensenella,|,990721,990719,3082768,186801,1239,1783272,2,131567,,,
715222,|,Caldicoprobacter,|,715222,715221,3120405,186801,1239,1783272,2,131567,,,
2070447,|,Conservatibacter,|,2070447,712,135625,1236,1224,3379134,2,131567,,,
2039240,|,Anaerotignum,|,2039240,3118652,3085636,186801,1239,1783272,2,131567,,,
44748,|,Sporobacter,|,44748,216572,186802,186801,1239,1783272,2,131567,,,
1505663,|,Thomasclavelia,|,3025755,2810280,526525,526524,1239,1783272,2,131567,,,
257820,|,Kerstersia,|,257820,506,80840,28216,1224,3379134,2,131567,,,
2742,|,Marinobacter,|,2742,2887365,72274,1236,1224,3379134,2,131567,,,
2733,|,Symbiobacterium,|,2733,543349,186802,186801,1239,1783272,2,131567,,,
168808,|,Sneathia,|,168808,1129771,203491,203490,32066,3384189,2,131567,,,
278993,|,Thermincola,|,278993,2937911,186802,186801,1239,1783272,2,131567,,,
2005359,|,Faecalicatena,|,2005359,186803,3085636,186801,1239,1783272,2,131567,,,
196119,|,Methanotorris,|,196119,196117,2182,183939,2283794,28890,3366610,2157,131567,,
33870,|,Coriobacterium,|,33870,84107,84999,84998,201174,1783272,2,131567,,,
233191,|,Caldilinea,|,233191,475964,475963,475962,200795,1783272,2,131567,,,
2048137,|,Agathobaculum,|,2048137,3085642,186802,186801,1239,1783272,2,131567,,,
519427,|,Sharpea,|,519427,2810280,526525,526524,1239,1783272,2,131567,,,
99906,|,Alkalibacterium,|,99906,186828,186826,91061,1239,1783272,2,131567,,,
114248,|,Tepidimonas,|,114248,224471,80840,28216,1224,3379134,2,131567,,,
165696,|,Novosphingobium,|,165696,41297,204457,28211,1224,3379134,2,131567,,,
2179,|,Methanothermus,|,2179,2178,2158,183925,2283794,28890,3366610,2157,131567,,
293088,|,Martelella,|,293088,255475,356,28211,1224,3379134,2,131567,,,
42054,|,Chromohalobacter,|,42054,28256,135619,1236,1224,3379134,2,131567,,,
346096,|,Paludibacter,|,346096,2005523,171549,200643,976,68336,1783270,3379134,2,131567,
657,|,Photobacterium,|,657,641,135623,1236,1224,3379134,2,131567,,,
2373,|,Acetonema,|,2373,3120656,1843508,909932,1239,1783272,2,131567,,,
588605,|,Robinsoniella,|,588605,186803,3085636,186801,1239,1783272,2,131567,,,
28065,|,Rhodoferax,|,28065,80864,80840,28216,1224,3379134,2,131567,,,
68,|,Lysobacter,|,68,32033,135614,1236,1224,3379134,2,131567,,,
1870884,|,Clostridioides,|,1870884,186804,3082720,186801,1239,1783272,2,131567,,,
28138,|,Rikenella,|,28138,171550,171549,200643,976,68336,1783270,3379134,2,131567,
141948,|,Thermomonas,|,141948,32033,135614,1236,1224,3379134,2,131567,,,
1505657,|,Intestinibacter,|,1505657,186804,3082720,186801,1239,1783272,2,131567,,,
2132,|,Spiroplasma,|,2132,2131,186328,31969,544448,1783272,2,131567,,,
2263,|,Thermococcus,|,2263,2259,2258,183968,28890,3366610,2157,131567,,,
442430,|,Coraliomargarita,|,442430,3056371,415001,414999,74201,1783257,3379134,2,131567,,
1372,|,Planococcus,|,1372,186818,1385,91061,1239,1783272,2,131567,,,
137460,|,Aerosphaera,|,137460,186830,186826,91061,1239,1783272,2,131567,,,
36862,|,Ideonella,|,36862,2975441,80840,28216,1224,3379134,2,131567,,,
445,|,Legionella,|,445,444,118969,1236,1224,3379134,2,131567,,,
501783,|,Cloacibacterium,|,501783,2762318,200644,117743,976,68336,1783270,3379134,2,131567,
52784,|,Anaerofilum,|,52784,216572,186802,186801,1239,1783272,2,131567,,,
46205,|,Pseudobutyrivibrio,|,46205,186803,3085636,186801,1239,1783272,2,131567,,,
2740,|,Peptococcus,|,2740,186807,186802,186801,1239,1783272,2,131567,,,
449972,|,Chelativorans,|,449972,69277,356,28211,1224,3379134,2,131567,,,
420345,|,Lactonifactor,|,420345,31979,186802,186801,1239,1783272,2,131567,,,
579,|,Kluyvera,|,579,543,91347,1236,1224,3379134,2,131567,,,
13075,|,Globicatella,|,13075,186827,186826,91061,1239,1783272,2,131567,,,
1506577,|,Tyzzerella,|,1506577,186803,3085636,186801,1239,1783272,2,131567,,,
1649512,|,Vulcaniibacterium,|,1649512,32033,135614,1236,1224,3379134,2,131567,,,
2239,|,Halobacterium,|,2239,2236,2235,183963,2290931,28890,3366610,2157,131567,,
41273,|,Tissierella,|,41273,1737406,1737405,1737404,1239,1783272,2,131567,,,
2192,|,Methanocorpusculum,|,2192,88404,2191,224756,2290931,28890,3366610,2157,131567,,
404,|,Methylobacillus,|,404,32011,32003,28216,1224,3379134,2,131567,,,
2268,|,Thermofilum,|,2268,114378,2856582,183924,28889,1783275,2157,131567,,,
898,|,Desulfomicrobium,|,898,213116,213115,3031449,200940,3379134,2,131567,,,
44262,|,Oxalophagus,|,44262,85151,186822,1385,91061,1239,1783272,2,131567,,
100175,|,Papillibacter,|,100175,216572,186802,186801,1239,1783272,2,131567,,,
1912216,|,Cutibacterium,|,1912216,31957,85009,1760,201174,1783272,2,131567,,,
33981,|,Kineococcus,|,33981,83778,622452,1760,201174,1783272,2,131567,,,
81682,|,Methylovorus,|,81682,32011,32003,28216,1224,3379134,2,131567,,,
33886,|,Rathayibacter,|,33886,85023,85006,1760,201174,1783272,2,131567,,,
255204,|,Pseudoclavibacter,|,255204,85023,85006,1760,201174,1783272,2,131567,,,
1551504,|,Candidatus  Babela,|,1551504,2497645,2497644,2497643,95901,1783234,2323,2,131567,,
653683,|,Anaerosporobacter,|,653683,186803,3085636,186801,1239,1783272,2,131567,,,
61434,|,Dehalococcoides,|,61434,1202464,1202465,301297,200795,1783272,2,131567,,,
1486726,|,Pseudobacteroides,|,1486726,216572,186802,186801,1239,1783272,2,131567,,,
590,|,Salmonella,|,590,543,91347,1236,1224,3379134,2,131567,,,
541,|,Zymomonas,|,541,2844881,204457,28211,1224,3379134,2,131567,,,
1111,|,Porphyrobacter,|,1111,2800788,335929,204457,28211,1224,3379134,2,131567,,
864,|,Pectinatus,|,864,1843491,909929,909932,1239,1783272,2,131567,,,
2147,|,Acholeplasma,|,2147,2146,186329,31969,544448,1783272,2,131567,,,
489140,|,Geminicoccus,|,489140,2066434,3108222,28211,1224,3379134,2,131567,,,
1200657,|,Saccharofermentans,|,1200657,216572,186802,186801,1239,1783272,2,131567,,,
182709,|,Oceanobacillus,|,182709,186817,1385,91061,1239,1783272,2,131567,,,
33071,|,Gloeobacter,|,33071,1890422,307595,3028117,1117,1798711,1783272,2,131567,,
1562,|,Desulfotomaculum,|,1562,2937910,186802,186801,1239,1783272,2,131567,,,
1792239,|,Caviibacter,|,1792239,1129771,203491,203490,32066,3384189,2,131567,,,
1913599,|,Peptoanaerobacter,|,1913599,3118655,3082720,186801,1239,1783272,2,131567,,,
34104,|,Streptobacillus,|,34104,1129771,203491,203490,32066,3384189,2,131567,,,
374,|,Bradyrhizobium,|,374,41294,356,28211,1224,3379134,2,131567,,,
172900,|,Victivallis,|,172900,255528,278082,1313211,256845,1783257,3379134,2,131567,,
55506,|,Schwartzia,|,55506,1843491,909929,909932,1239,1783272,2,131567,,,
123,|,Pirellula,|,123,2691357,2691354,203683,203682,1783257,3379134,2,131567,,
84034,|,Propionispira,|,84034,1843491,909929,909932,1239,1783272,2,131567,,,
44249,|,Paenibacillus,|,44249,186822,1385,91061,1239,1783272,2,131567,,,
666508,|,Phycisphaera,|,666508,666507,666506,666505,203682,1783257,3379134,2,131567,,
256846,|,Lentisphaera,|,256846,566277,278081,1313211,256845,1783257,3379134,2,131567,,
2735,|,Verrucomicrobium,|,2735,203557,48461,203494,74201,1783257,3379134,2,131567,,
270497,|,Christensenella,|,990721,990719,3082768,186801,1239,1783272,2,131567,,,
1573806,|,Mariniphaga,|,1573806,1471398,1970189,200643,976,68336,1783270,3379134,2,131567,
423604,|,Elusimicrobium,|,423604,641876,641854,641853,74152,3379134,2,131567,,,
978,|,Cytophaga,|,978,89373,768507,768503,976,68336,1783270,3379134,2,131567,
362865,|,Sandarakinorhabdus,|,362865,2820280,204457,28211,1224,3379134,2,131567,,,
361177,|,Altererythrobacter,|,361177,335929,204457,28211,1224,3379134,2,131567,,,
57665,|,Sulfurospirillum,|,57665,2932623,213849,3031852,29547,3379134,2,131567,,,
1041,|,Erythrobacter,|,1041,2800788,335929,204457,28211,1224,3379134,2,131567,,
1649501,|,Tangfeifania,|,1649501,1471398,1970189,200643,976,68336,1783270,3379134,2,131567,
1236988,|,Geofilum,|,1236988,558415,1970189,200643,976,68336,1783270,3379134,2,131567,
299566,|,Adhaeribacter,|,299566,1853232,768507,768503,976,68336,1783270,3379134,2,131567,
70992,|,Flexithrix,|,70992,200667,768507,768503,976,68336,1783270,3379134,2,131567,
1637257,|,Mageeibacillus,|,1637257,216572,186802,186801,1239,1783272,2,131567,,,
186831,|,Acetoanaerobium,|,186831,3118655,3082720,186801,1239,1783272,2,131567,,,
499058,|,Spongitalea,|,499058,49546,200644,117743,976,68336,1783270,3379134,2,131567,
118966,|,Anaerorhabdus,|,118966,128827,526525,526524,1239,1783272,2,131567,,,
314318,|,Prolixibacter,|,314318,1471398,1970189,200643,976,68336,1783270,3379134,2,131567,
633413,|,Pseudozobellia,|,633413,49546,200644,117743,976,68336,1783270,3379134,2,131567,
150333,|,Thermobrachium,|,150333,31979,186802,186801,1239,1783272,2,131567,,,
286729,|,Alkaliflexus,|,286729,558415,1970189,200643,976,68336,1783270,3379134,2,131567,
1573534,|,Faecalitalea,|,1573534,128827,526525,526524,1239,1783272,2,131567,,,
1866885,|,Mycolicibacterium,|,1866885,1762,85007,1760,201174,1783272,2,131567,,,
262406,|,Thermobaculum,|,262406,3399778,3399777,32061,200795,1783272,2,131567,,,
253238,|,Ethanoligenens,|,253238,216572,186802,186801,1239,1783272,2,131567,,,
129337,|,Geobacillus,|,129337,3120669,1385,91061,1239,1783272,2,131567,,,
203470,|,Tepidiphilus,|,203470,206349,119069,2008785,1224,3379134,2,131567,,,
71655,|,Brenneria,|,71655,1903410,91347,1236,1224,3379134,2,131567,,,
187,|,Aquaspirillum,|,187,2897176,206351,28216,1224,3379134,2,131567,,,
2370,|,Xylella,|,2370,32033,135614,1236,1224,3379134,2,131567,,,
265980,|,Alkalimonas,|,265980,118884,1236,1224,3379134,2,131567,,,,
626,|,Xenorhabdus,|,626,1903414,91347,1236,1224,3379134,2,131567,,,
155493,|,Gallibacterium,|,155493,712,135625,1236,1224,3379134,2,131567,,,
70411,|,Frateuria,|,70411,1775411,135614,1236,1224,3379134,2,131567,,,
2094023,|,Glaesserella,|,2094023,712,135625,1236,1224,3379134,2,131567,,,
18,|,Pelobacter,|,18,213421,69541,3031651,200940,3379134,2,131567,,,
242605,|,Luteibacter,|,242605,1775411,135614,1236,1224,3379134,2,131567,,,
1765964,|,Acidihalobacter,|,1765964,72276,135613,1236,1224,3379134,2,131567,,,
469322,|,Steroidobacter,|,469322,2689614,3060226,1236,1224,3379134,2,131567,,,
271159,|,Nicoletella,|,271159,712,135625,1236,1224,3379134,2,131567,,,
697331,|,Basfia,|,697331,712,135625,1236,1224,3379134,2,131567,,,
1960084,|,Rodentibacter,|,1960084,712,135625,1236,1224,3379134,2,131567,,,
958,|,Bdellovibrio,|,958,213483,213481,3031418,3018035,3379134,2,131567,,,
504481,|,Sediminibacterium,|,504481,563835,1853229,1853228,976,68336,1783270,3379134,2,131567,
79328,|,Chitinophaga,|,79328,563835,1853229,1853228,976,68336,1783270,3379134,2,131567,
1648517,|,Mesocricetibacter,|,1648517,712,135625,1236,1224,3379134,2,131567,,,
1505660,|,Asaccharospora,|,1505660,186804,3082720,186801,1239,1783272,2,131567,,,
75984,|,Mannheimia,|,75984,712,135625,1236,1224,3379134,2,131567,,,
73029,|,Dechloromonas,|,73029,2008795,206389,28216,1224,3379134,2,131567,,,
359336,|,Castellaniella,|,359336,506,80840,28216,1224,3379134,2,131567,,,
508459,|,Cloacibacillus,|,508459,649777,649776,649775,508458,3384194,2,131567,,,
1647,|,Erysipelothrix,|,1647,128827,526525,526524,1239,1783272,2,131567,,,
28067,|,Rubrivivax,|,28067,2975441,80840,28216,1224,3379134,2,131567,,,
332162,|,Candidatus Solibacter,|,332162,332161,332160,204432,57723,3379134,2,131567,,,
114627,|,Alkaliphilus,|,114627,3118656,3082720,186801,1239,1783272,2,131567,,,
29407,|,Rhodoplanes,|,29407,41294,356,28211,1224,3379134,2,131567,,,
43947,|,Tolumonas,|,43947,84642,135624,1236,1224,3379134,2,131567,,,
553372,|,Asaccharobacter,|,553372,1643826,1643822,84998,201174,1783272,2,131567,,,
1344362,|,Rehaibacterium,|,1344362,32033,135614,1236,1224,3379134,2,131567,,,
106591,|,Ensifer,|,106591,227292,82115,356,28211,1224,3379134,2,131567,,
178440,|,Opitutus,|,178440,134623,415000,414999,74201,1783257,3379134,2,131567,,
12960,|,Azoarcus,|,12960,2008794,206389,28216,1224,3379134,2,131567,,,
2057233,|,Amedibacterium,|,2749267,128827,526525,526524,1239,1783272,2,131567,,,
85,|,Hyphomonas,|,85,69657,2800060,28211,1224,3379134,2,131567,,,
332102,|,Fluviicola,|,332102,1853230,200644,117743,976,68336,1783270,3379134,2,131567,
1408818,|,Youngiibacter,|,1408818,31979,186802,186801,1239,1783272,2,131567,,,
31988,|,Aminobacter,|,31988,69277,356,28211,1224,3379134,2,131567,,,
204447,|,Skermanella,|,204447,2829815,204441,28211,1224,3379134,2,131567,,,
29487,|,Photorhabdus,|,29487,1903414,91347,1236,1224,3379134,2,131567,,,
1860,|,Geodermatophilus,|,1860,85030,1643682,1760,201174,1783272,2,131567,,,
2282740,|,Desulfallas,|,2282740,2867375,186802,186801,1239,1783272,2,131567,,,
1843210,|,Anaerocolumna,|,1843210,186803,3085636,186801,1239,1783272,2,131567,,,
1004300,|,Hydrotalea,|,1004300,563835,1853229,1853228,976,68336,1783270,3379134,2,131567,
697025,|,Hoyosella,|,697025,3040680,85007,1760,201174,1783272,2,131567,,,
47420,|,Hydrogenophaga,|,47420,80864,80840,28216,1224,3379134,2,131567,,,
380240,|,Candidatus Brocadia,|,380240,1127830,1127829,2517206,203682,1783257,3379134,2,131567,,
1649453,|,Gimesia,|,1649453,126,112,203683,203682,1783257,3379134,2,131567,,
296051,|,Terrimonas,|,296051,563835,1853229,1853228,976,68336,1783270,3379134,2,131567,
84036,|,Syntrophococcus,|,84036,186803,3085636,186801,1239,1783272,2,131567,,,
1505652,|,Terrisporobacter,|,1505652,186804,3082720,186801,1239,1783272,2,131567,,,
2040476,|,Rhabdanaerobium,|,2040476,186806,186802,186801,1239,1783272,2,131567,,,
28050,|,Lachnospira,|,28050,186803,3085636,186801,1239,1783272,2,131567,,,
83660,|,Desulfonispora,|,83660,186807,186802,186801,1239,1783272,2,131567,,,
160795,|,Ureibacillus,|,160795,186818,1385,91061,1239,1783272,2,131567,,,
1573536,|,Faecalicoccus,|,1573536,128827,526525,526524,1239,1783272,2,131567,,,
35829,|,Acetivibrio,|,35829,216572,186802,186801,1239,1783272,2,131567,,,
44261,|,Oxobacter,|,44261,31979,186802,186801,1239,1783272,2,131567,,,
862,|,Syntrophomonas,|,862,68298,186802,186801,1239,1783272,2,131567,,,
79206,|,Desulfosporosinus,|,79206,2937909,186802,186801,1239,1783272,2,131567,,,
2282742,|,Desulfofarcimen,|,2282742,186807,186802,186801,1239,1783272,2,131567,,,
78119,|,Succinispira,|,78119,909930,1843488,909932,1239,1783272,2,131567,,,
1121829,|,Fodinicurvata,|,1121829,2844403,204441,28211,1224,3379134,2,131567,,,
36853,|,Desulfitobacterium,|,36853,2937909,186802,186801,1239,1783272,2,131567,,,
140625,|,Lachnobacterium,|,140625,186803,3085636,186801,1239,1783272,2,131567,,,
1291539,|,Methanomethylophilus,|,1291539,2517203,1235850,183967,2283796,3366610,2157,131567,,,
101,|,Flectobacillus,|,101,3141701,768507,768503,976,68336,1783270,3379134,2,131567,
660628,|,Insolitispirillum,|,660628,3031145,204441,28211,1224,3379134,2,131567,,,
2042899,|,Andreesenia,|,2042899,2042895,1737405,1737404,1239,1783272,2,131567,,,
93217,|,Pandoraea,|,93217,119060,80840,28216,1224,3379134,2,131567,,,
869806,|,Marivirga,|,869806,2762301,768507,768503,976,68336,1783270,3379134,2,131567,
293136,|,Desulfitibacter,|,293136,3039170,3039167,186801,1239,1783272,2,131567,,,
204446,|,Zavarzinia,|,204446,2844877,204441,28211,1224,3379134,2,131567,,,
343331,|,Candidatus Kopriimonas,|,343331,597359,204441,28211,1224,3379134,2,131567,,,
252965,|,Mahella,|,252965,543372,68295,186801,1239,1783272,2,131567,,,
241189,|,Hespellia,|,241189,186803,3085636,186801,1239,1783272,2,131567,,,
63132,|,Geitlerinema,|,63132,3079752,3079751,3028117,1117,1798711,1783272,2,131567,,
1565532,|,Rouxiella,|,1565532,1903411,91347,1236,1224,3379134,2,131567,,,
364031,|,Sulfurivirga,|,364031,135616,72273,1236,1224,3379134,2,131567,,,
365348,|,Pelosinus,|,365348,1843490,909929,909932,1239,1783272,2,131567,,,
56112,|,Dehalobacter,|,56112,2937909,186802,186801,1239,1783272,2,131567,,,
518753,|,Luteolibacter,|,518753,203557,48461,203494,74201,1783257,3379134,2,131567,,
1505664,|,Gottschalkia,|,1505664,2042895,1737405,1737404,1239,1783272,2,131567,,,
448125,|,Dethiosulfatibacter,|,448125,1737407,1737404,1239,1783272,2,131567,,,,
173479,|,Gemmatimonas,|,173479,219687,219686,219685,142182,1783270,3379134,2,131567,,
41707,|,Lawsonia,|,41707,194924,213115,3031449,200940,3379134,2,131567,,,
1849822,|,Paraclostridium,|,1849822,186804,3082720,186801,1239,1783272,2,131567,,,
1769729,|,Hathewaya,|,1769729,31979,186802,186801,1239,1783272,2,131567,,,
496496,|,Viridibacillus,|,496496,186818,1385,91061,1239,1783272,2,131567,,,
33926,|,Candidatus Phytoplasma,|,33926,2146,186329,31969,544448,1783272,2,131567,,,
2375,|,Sporomusa,|,2375,1843490,909929,909932,1239,1783272,2,131567,,,
150818,|,Heliophilum,|,150818,31984,186802,186801,1239,1783272,2,131567,,,
69894,|,Tindallia,|,69894,3118658,3082720,186801,1239,1783272,2,131567,,,
1155934,|,Marininema,|,1155934,186824,1385,91061,1239,1783272,2,131567,,,
866,|,Ruminobacter,|,866,83763,135624,1236,1224,3379134,2,131567,,,
28100,|,Phyllobacterium,|,28100,69277,356,28211,1224,3379134,2,131567,,,
373984,|,Rivularia,|,373984,1185,1161,3028117,1117,1798711,1783272,2,131567,,
200473,|,Brumimicrobium,|,200473,1853230,200644,117743,976,68336,1783270,3379134,2,131567,
274470,|,Alkalibacter,|,274470,186806,186802,186801,1239,1783272,2,131567,,,
392735,|,Uliginosibacterium,|,392735,2008794,206389,28216,1224,3379134,2,131567,,,
1115103,|,Wandonia,|,1115103,1853230,200644,117743,976,68336,1783270,3379134,2,131567,
909656,|,Phocaeicola,|,909656,815,171549,200643,976,68336,1783270,3379134,2,131567,
204456,|,Gemmobacter,|,204456,31989,204455,28211,1224,3379134,2,131567,,,
1021,|,Beggiatoa,|,1021,135617,72273,1236,1224,3379134,2,131567,,,
1618113,|,Saccharicrinis,|,1618113,558415,1970189,200643,976,68336,1783270,3379134,2,131567,
267986,|,Owenweeksia,|,267986,3024551,200644,117743,976,68336,1783270,3379134,2,131567,
83681,|,Nonomuraea,|,83681,2004,85012,1760,201174,1783272,2,131567,,,
1676142,|,Wenzhouxiangella,|,1676142,1676141,135613,1236,1224,3379134,2,131567,,,
65502,|,Cryptosporangium,|,65502,622454,2495577,1760,201174,1783272,2,131567,,,
28033,|,Sulfobacillus,|,28033,539000,538999,186802,186801,1239,1783272,2,131567,,
1754,|,Thermoanaerobacter,|,1754,186814,68295,186801,1239,1783272,2,131567,,,
157226,|,Jeotgalibacillus,|,157226,186818,1385,91061,1239,1783272,2,131567,,,
218204,|,Garciella,|,218204,186806,186802,186801,1239,1783272,2,131567,,,
1884930,|,Maledivibacter,|,1884930,3118654,3082720,186801,1239,1783272,2,131567,,,
35838,|,Holophaga,|,35838,574976,574975,533205,57723,3379134,2,131567,,,
282132,|,Candidatus Protochlamydia,|,282132,92713,1963360,204429,204428,1783257,3379134,2,131567,,
89958,|,Natronincola,|,89958,3118656,3082720,186801,1239,1783272,2,131567,,,
1051898,|,Actimicrobium,|,1051898,75682,80840,28216,1224,3379134,2,131567,,,
53244,|,Desulfonatronovibrio,|,53244,3031459,213115,3031449,200940,3379134,2,131567,,,
49082,|,Candidatus Neoarthromitus,|,49082,31979,186802,186801,1239,1783272,2,131567,,,
45667,|,Halobacillus,|,45667,186817,1385,91061,1239,1783272,2,131567,,,
46239,|,Mesoplasma,|,46239,33925,186328,31969,544448,1783272,2,131567,,,
82802,|,Trichococcus,|,82802,186828,186826,91061,1239,1783272,2,131567,,,
1054211,|,Sulfuritalea,|,1054211,2008793,32003,28216,1224,3379134,2,131567,,,
117999,|,Denitrovibrio,|,117999,2945019,191393,68337,200930,3379134,2,131567,,,
165812,|,Sporanaerobacter,|,165812,2992718,1737405,1737404,1239,1783272,2,131567,,,
96,|,Gallionella,|,96,90627,32003,28216,1224,3379134,2,131567,,,
455358,|,Balneola,|,455358,1813606,1853223,1853221,1936987,68336,1783270,3379134,2,131567,
151037,|,Anaerosinus,|,151037,1843490,909929,909932,1239,1783272,2,131567,,,
44260,|,Neomoorella,|,44260,3039168,3039167,186801,1239,1783272,2,131567,,,
1653174,|,Actinotignum,|,1653174,2049,2037,1760,201174,1783272,2,131567,,,
1125,|,Microcystis,|,1125,1890449,1118,1301283,3028117,1117,1798711,1783272,2,131567,
45662,|,Desulfohalobium,|,45662,213117,213115,3031449,200940,3379134,2,131567,,,
83612,|,Psychroflexus,|,83612,49546,200644,117743,976,68336,1783270,3379134,2,131567,
28261,|,Thermodesulfovibrio,|,28261,2811504,2811503,2811502,40117,3379134,2,131567,,,
1030,|,Thiothrix,|,1030,135617,72273,1236,1224,3379134,2,131567,,,
2755,|,Brochothrix,|,2755,186820,1385,91061,1239,1783272,2,131567,,,
28231,|,Geobacter,|,28231,213422,3031668,3031651,200940,3379134,2,131567,,,
35823,|,Arthrospira,|,35823,1892252,1150,1301283,3028117,1117,1798711,1783272,2,131567,
1822464,|,Paraburkholderia,|,1822464,119060,80840,28216,1224,3379134,2,131567,,,
929509,|,Solitalea,|,929509,84566,200666,117747,976,68336,1783270,3379134,2,131567,
1481960,|,Peptoclostridium,|,1481960,3120161,3082720,186801,1239,1783272,2,131567,,,
57739,|,Vogesella,|,57739,1499392,206351,28216,1224,3379134,2,131567,,,
896,|,Desulfococcus,|,896,2931039,213118,3024418,200940,3379134,2,131567,,,
177399,|,Anaerophaga,|,177399,558415,1970189,200643,976,68336,1783270,3379134,2,131567,
1502725,|,Effusibacillus,|,1502725,186823,1385,91061,1239,1783272,2,131567,,,
1569,|,Sporosarcina,|,1569,186818,1385,91061,1239,1783272,2,131567,,,
178469,|,Arenibacter,|,178469,49546,200644,117743,976,68336,1783270,3379134,2,131567,
1107,|,Chloroflexus,|,1107,1106,1508594,32064,32061,200795,1783272,2,131567,,
1813,|,Amycolatopsis,|,1813,2070,85010,1760,201174,1783272,2,131567,,,
29526,|,Syntrophobacter,|,29526,213465,213462,3024408,200940,3379134,2,131567,,,
253255,|,Soehngenia,|,253255,1737406,1737405,1737404,1239,1783272,2,131567,,,
81466,|,Aminobacterium,|,81466,3029087,649776,649775,508458,3384194,2,131567,,,
306539,|,Halolactibacillus,|,306539,186817,1385,91061,1239,1783272,2,131567,,,
329857,|,Cohnella,|,329857,186822,1385,91061,1239,1783272,2,131567,,,
349,|,Zoogloea,|,349,2008794,206389,28216,1224,3379134,2,131567,,,
1120752,|,Nodosilinea,|,1120752,3039986,3039985,3028117,1117,1798711,1783272,2,131567,,
2282741,|,Desulfofundulus,|,2282741,186807,186802,186801,1239,1783272,2,131567,,,
271087,|,Geopsychrobacter,|,271087,3031659,69541,3031651,200940,3379134,2,131567,,,
795750,|,Ignavibacterium,|,795750,795749,795748,795747,1134404,68336,1783270,3379134,2,131567,
48463,|,Prosthecobacter,|,48463,203557,48461,203494,74201,1783257,3379134,2,131567,,
31980,|,Acetitomaculum,|,31980,186803,3085636,186801,1239,1783272,2,131567,,,
1918452,|,Extibacter,|,1918452,186803,3085636,186801,1239,1783272,2,131567,,,
375928,|,Natranaerobius,|,375928,485255,485256,186801,1239,1783272,2,131567,,,
16,|,Methylophilus,|,16,32011,32003,28216,1224,3379134,2,131567,,,
2086,|,Anaeroplasma,|,2086,186333,186332,31969,544448,1783272,2,131567,,,
456492,|,Saccharibacillus,|,456492,186822,1385,91061,1239,1783272,2,131567,,,
224474,|,Desulfothermus,|,224474,3064025,213115,3031449,200940,3379134,2,131567,,,
85273,|,Rhodothalassium,|,85273,1544800,1544799,28211,1224,3379134,2,131567,,,
32,|,Myxococcus,|,32,31,80811,29,32015,2818505,3379134,2,131567,,
1647190,|,Aquibacillus,|,1647190,186817,1385,91061,1239,1783272,2,131567,,,
1123967,|,Porticoccus,|,1123967,1706374,1706369,1236,1224,3379134,2,131567,,,
67572,|,Psychromonas,|,67572,267894,135622,1236,1224,3379134,2,131567,,,
47251,|,Leptolyngbya,|,47251,3081713,1890438,3079749,3028117,1117,1798711,1783272,2,131567,
281472,|,Jiangella,|,281472,1217100,1217098,1760,201174,1783272,2,131567,,,
453850,|,Joostella,|,453850,49546,200644,117743,976,68336,1783270,3379134,2,131567,
370735,|,Zhihengliuella,|,370735,1268,85006,1760,201174,1783272,2,131567,,,
1501226,|,Romboutsia,|,1501226,186804,3082720,186801,1239,1783272,2,131567,,,
91914,|,Asaia,|,91914,433,3120395,28211,1224,3379134,2,131567,,,
28250,|,Ornithobacterium,|,28250,2762318,200644,117743,976,68336,1783270,3379134,2,131567,
400060,|,Paludibacterium,|,400060,1499392,206351,28216,1224,3379134,2,131567,,,
66848,|,Desulfonatronum,|,66848,224380,213115,3031449,200940,3379134,2,131567,,,
373053,|,Calditerricola,|,373053,186817,1385,91061,1239,1783272,2,131567,,,
643217,|,Afifella,|,643217,2829802,356,28211,1224,3379134,2,131567,,,
74030,|,Roseovarius,|,74030,2854170,204455,28211,1224,3379134,2,131567,,,
46238,|,Entomoplasma,|,46238,33925,186328,31969,544448,1783272,2,131567,,,
150059,|,Halonatronum,|,150059,53434,53433,186801,1239,1783272,2,131567,,,
226,|,Alteromonas,|,226,2903219,72275,135622,1236,1224,3379134,2,131567,,
1190,|,Fischerella,|,1190,1892263,1161,3028117,1117,1798711,1783272,2,131567,,
269258,|,Nitratiruptor,|,269258,2795691,235899,3031852,29547,3379134,2,131567,,,
13034,|,Dactylococcopsis,|,13034,3079746,3039985,3028117,1117,1798711,1783272,2,131567,,
119977,|,Acidithiobacillus,|,119977,225058,225057,1807140,1224,3379134,2,131567,,,
457933,|,Elioraea,|,457933,2690195,3120395,28211,1224,3379134,2,131567,,,
2425,|,Teredinibacter,|,2425,1706371,1706369,1236,1224,3379134,2,131567,,,
143222,|,Salegentibacter,|,143222,49546,200644,117743,976,68336,1783270,3379134,2,131567,
290180,|,Roseivirga,|,290180,2762306,768507,768503,976,68336,1783270,3379134,2,131567,
992,|,Flexibacter,|,992,2762284,768507,768503,976,68336,1783270,3379134,2,131567,
162171,|,Magnetococcus,|,162171,1191479,1191478,3118669,1224,3379134,2,131567,,,
933,|,Thiomicrospira,|,933,135616,72273,1236,1224,3379134,2,131567,,,
